,name,location_link,site,us_state,type,subtypes,Area,rating
47,Great China,"https://www.google.com/maps/place/Great+China/@31.265086699999998,-85.4390499,14z/data=!4m8!1m2!2m1!1sGreat+China!3m4!1s0x88928df88c7db2e1:0xc7fedff0de3392f4!8m2!3d31.265086699999998!4d-85.4390499",,Alabama,Chinese restaurant,Chinese restaurant,2,4.4
48,No. 1 Chinese Restaurant,"https://www.google.com/maps/place/No.+1+Chinese+Restaurant/@32.9596081,-86.7422472,14z/data=!4m8!1m2!2m1!1sNo.+1+Chinese+Restaurant!3m4!1s0x888ed3564809fbff:0x659f6bd42d977174!8m2!3d32.9596081!4d-86.7422472",http://www.no1chinesejemisonal.com/,Alabama,Chinese restaurant,Chinese restaurant,1,4.4
49,Wok's Up Chinese Food,"https://www.google.com/maps/place/Wok%27s+Up+Chinese+Food/@34.7214774,-86.6125014,14z/data=!4m8!1m2!2m1!1sWok%27s+Up+Chinese+Food!3m4!1s0x88626d479a859ded:0xa3772cbe15069963!8m2!3d34.7214774!4d-86.6125014",http://www.woksupal.com/,Alabama,Chinese restaurant,Chinese restaurant,2,3.6
50,New China Chinese Restaurant,"https://www.google.com/maps/place/New+China+Chinese+Restaurant/@34.5850915,-94.22490839999999,14z/data=!4m8!1m2!2m1!1sNew+China+Chinese+Restaurant!3m4!1s0x87cb30239b0d3c39:0xe01fd0dbdf3fe3ed!8m2!3d34.5850915!4d-94.22490839999999",https://usmapz.me/new-china-chinese-restaurant-324003-us,Arkansas,Chinese restaurant,Chinese restaurant,0,4.2
51,Hunan Express,"https://www.google.com/maps/place/Hunan+Express/@35.251079,-91.708574,14z/data=!4m8!1m2!2m1!1sHunan+Express!3m4!1s0x87d3a901d9c31219:0xe69114c927c1358a!8m2!3d35.251079!4d-91.708574",https://elomaps.me/hunan-express-949078-us,Arkansas,Chinese restaurant,Chinese restaurant,1,4.3
52,China City,"https://www.google.com/maps/place/China+City/@35.334447,-94.42228999999999,14z/data=!4m8!1m2!2m1!1sChina+City!3m4!1s0x87ca4d14889d14a9:0xbaf7c86150054a7a!8m2!3d35.334447!4d-94.42228999999999",https://chinacityfstogo.com/,Arkansas,Chinese restaurant,Chinese restaurant,2,3.8
53,Golden Dragon Buffet,"https://www.google.com/maps/place/Golden+Dragon+Buffet/@36.173649499999996,-94.1828567,14z/data=!4m8!1m2!2m1!1sGolden+Dragon+Buffet!3m4!1s0x87c96cc6b0d624a1:0x41701dccbddcf4be!8m2!3d36.173649499999996!4d-94.1828567",https://www.goldendragonbuffetar.com/,Arkansas,Chinese restaurant,"Chinese restaurant, Buffet restaurant, Caterer, Japanese restaurant, Sushi restaurant",2,3.8
54,Top China,"https://www.google.com/maps/place/Top+China/@36.439676299999995,-94.2362206,14z/data=!4m8!1m2!2m1!1sTop+China!3m4!1s0x87c904adba6f34ff:0x3d3afc570b6dd7ef!8m2!3d36.439676299999995!4d-94.2362206",https://nwafood.com/listing/top-china/,Arkansas,Chinese restaurant,Chinese restaurant,2,4.3
55,Pao Peng Asian Cuisines LLC,"https://www.google.com/maps/place/Pao+Peng+Asian+Cuisines+LLC/@36.1656307,-94.04567449999999,14z/data=!4m8!1m2!2m1!1sPao+Peng+Asian+Cuisines+LLC!3m4!1s0x87c94165e3c7b789:0x79df80df75aa0a8b!8m2!3d36.1656307!4d-94.04567449999999",https://pao-peng-asian-cuisines-llc.square.site/,Arkansas,Chinese restaurant,"Chinese restaurant, Asian restaurant, Chinese noodle restaurant, Chinese takeaway, Family restaurant, Delivery Restaurant, Takeout Restaurant, South Asian restaurant, Southeast Asian restaurant, Thai restaurant",2,4.8
56,King Wok Restaurant,"https://www.google.com/maps/place/King+Wok+Restaurant/@35.7026919,-89.9698442,14z/data=!4m8!1m2!2m1!1sKing+Wok+Restaurant!3m4!1s0x887f5850d474a843:0xafff9ea3473b6de6!8m2!3d35.7026919!4d-89.9698442",,Arkansas,Chinese restaurant,Chinese restaurant,0,4.2
57,Mr. Cheng's,"https://www.google.com/maps/place/Mr.+Cheng%27s/@34.7895775,-92.2117925,14z/data=!4m8!1m2!2m1!1sMr.+Cheng%27s!3m4!1s0x87d2be856d705167:0xb02dc8d27586f377!8m2!3d34.7895775!4d-92.2117925",https://www.mrchengs.com/,Arkansas,Chinese restaurant,"Chinese restaurant, Restaurant",2,4.2
58,Chi's Chinese Cuisine,"https://www.google.com/maps/place/Chi%27s+Chinese+Cuisine/@34.762523,-92.45391649999999,14z/data=!4m8!1m2!2m1!1sChi%27s+Chinese+Cuisine!3m4!1s0x87d2a0a59283d119:0x57f5c3257a436152!8m2!3d34.762523!4d-92.45391649999999",http://eatatchis.com/,Arkansas,Chinese restaurant,Chinese restaurant,2,3.9
