ZIP_CODE,STATE,RUCA1,RUCA2
3822,NH,1,1
3823,NH,2,2
3824,NH,1,1
3825,NH,3,3
3826,NH,1,1
3827,NH,1,1
3830,NH,2,2
3832,NH,10,10
3833,NH,1,1
3835,NH,2,2
3836,NH,10,10
3837,NH,6,6
3838,NH,10,10
3839,NH,1,1
3840,NH,1,1
3841,NH,1,1
3842,NH,1,1
3843,NH,1,1
3844,NH,1,1
3845,NH,10,10
3846,NH,10,10
3847,NH,7,7
3848,NH,1,1
3849,NH,10,10
3850,NH,10,10
3851,NH,1,1
3852,NH,1,1
3853,NH,10,10
3854,NH,1,1
3855,NH,2,2
3856,NH,1,1
3857,NH,1,1
3858,NH,1,1
3859,NH,1,1
3860,NH,7,7
3861,NH,2,2
3862,NH,1,1
3864,NH,10,10
3865,NH,1,1
3866,NH,1,1
3867,NH,1,1
3868,NH,1,1
3869,NH,1,1
3870,NH,1,1
3871,NH,1,1
3872,NH,2,2
3873,NH,1,1
3874,NH,1,1
3875,NH,10,10
3878,NH,1,1
3882,NH,10,10
3883,NH,10,10
3884,NH,2,2
3885,NH,1,1
3886,NH,10,10
3887,NH,2,2
3890,NH,10,10
3894,NH,10,10
3896,NH,10,10
3897,NH,10,10
3901,ME,1,1
3902,ME,2,2
3903,ME,1,1
3904,ME,1,1
3905,ME,1,1
3906,ME,3,3
3907,ME,10,10
3908,ME,1,1
3909,ME,1,1
3910,ME,1,1
3911,ME,1,1
4001,ME,6,6
4002,ME,2,2
4003,ME,5,5
4004,ME,2,2
4005,ME,1,1
4006,ME,1,1
4007,ME,1,1
4008,ME,5,5
4009,ME,10,10
4010,ME,3,3
4011,ME,4,4
4013,ME,1,1
4014,ME,7,7.1
4015,ME,2,2
4016,ME,10,10
4017,ME,1,1
4019,ME,2,2
4020,ME,10,10
4021,ME,1,1
4022,ME,3,3
4024,ME,2,2
4027,ME,2,2
4028,ME,10,10
4029,ME,2,2
4030,ME,2,2
4032,ME,1,1
4033,ME,2,2
4034,ME,2,2
4037,ME,10,10
4038,ME,2,2
4039,ME,2,2
4040,ME,10,10
4041,ME,2,2
4042,ME,2,2
4043,ME,7,7.1
4046,ME,2,2
4047,ME,10,10
4048,ME,2,2
4049,ME,2,2
4050,ME,2,2
4051,ME,10,10
4054,ME,10,10
4055,ME,2,2
4056,ME,6,6
4057,ME,10,10
4061,ME,2,2
4062,ME,1,1
4063,ME,1,1
4064,ME,1,1
4066,ME,5,5
4068,ME,2,2
4069,ME,2,2
4070,ME,1,1
4071,ME,2,2
4072,ME,1,1
4073,ME,4,4
4074,ME,1,1
